label,text
phishing,"URGENT: Your account will be suspended. Verify immediately to avoid closure."
phishing,"Suspicious login detected on your account. Confirm your identity now."
phishing,"You have won a prize reward. Claim it before it expires."
phishing,"Unusual activity found in your bank account. Verify details immediately."
phishing,"Your email storage is full. Upgrade now to continue using service."
phishing,"Security alert: login attempt blocked. Re-authenticate your account."
phishing,"Your PayPal account is limited. Confirm details to restore access."
phishing,"Reset your password immediately or account will be disabled."
phishing,"Tax refund pending. Submit personal details to receive funds."
phishing,"You are selected for cashback reward. Confirm now to claim."
phishing,"URGENT: Click link to secure your account immediately. Visit http://secure-login-12.com"
phishing,"Account locked due to suspicious activity. Verify at http://192.168.1.10/verify"
phishing,"Bank alert: unauthorized transaction detected. Login at http://bank-secure-99.com"
phishing,"Your device is infected. Install security update from http://update-secure-01.net"
phishing,"PayPal: account restricted. Confirm identity http://paypal-secure-88.com/login"
phishing,"Congratulations! Reward unlocked. Claim at http://reward-center-77.com"
phishing,"Security breach detected. Fix now http://security-check-45.com"
phishing,"Your KYC is pending. Submit documents immediately."
phishing,"Your account will be deleted within 24 hours unless verified."
phishing,"Click here to avoid permanent suspension of services."


safe,"Your monthly bank statement is available in your dashboard."
safe,"Meeting scheduled tomorrow at 10 AM with your team."
safe,"Your order has been shipped and will arrive soon."
safe,"Password changed successfully. If not you, contact support."
safe,"Electricity bill is due next week."
safe,"Reminder: project submission deadline is approaching."
safe,"Welcome to our service. Explore features in dashboard."
safe,"Subscription renewal confirmed for next month."
safe,"Office will remain closed on Friday due to holiday."
safe,"Attendance report has been updated."
safe,"Your invoice is ready in your account portal."
safe,"System maintenance scheduled this weekend."
safe,"Your course enrollment is confirmed."
safe,"Team meeting notes are uploaded in shared folder."
safe,"Your request has been processed successfully."
safe,"Dashboard updated with latest analytics."
safe,"New policy update available in portal."
safe,"Your feedback has been recorded."
safe,"Your appointment is confirmed."
safe,"Service status is running normally."

